Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
chassis,0.00613369995265407,0.00630158094420034,-0.0129914457038721,0,0,0,0.229593466768862,0.000409002358034073,-8.2639843005767E-07,4.22260098488292E-07,0.000250284517054187,2.42531452126971E-20,0.000637401494004145,0,0,0,0,0,0,package://final1/meshes/chassis.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://final1/meshes/chassis.STL,,Scissor_Lift-1/角铁2-4;Scissor_Lift-1/角铁2-1;Scissor_Lift-1/角铁2-3;Scissor_Lift-1/角铁2-2;电机-2;电机-1;电机支架-2;底板-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel1,6.93889390390723E-18,0.0138687133269963,-4.85722573273506E-17,0,0,0,0.109892125624407,7.85873544749506E-05,-1.20579652732877E-21,-3.3881317890172E-21,0.000131114516168852,-1.75843179456861E-19,7.85873544749506E-05,0,0,0,0,0,0,package://final1/meshes/wheel1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://final1/meshes/wheel1.STL,,轮子-2,Origin_wheel1,w-wheel2,wheel1,fixed,-0.104227344246978,0.055,-0.0225698233330696,-3.14159265358979,0.199161601196109,1.5707963267949,chassis,0,0,0,,,,,,,,,,,,
wheel2,0,0.0138687133269963,-6.93889390390723E-18,0,0,0,0.109892125624408,7.85873544749506E-05,1.34030673189279E-20,1.01643953670516E-20,0.000131114516168852,-2.08411120707856E-20,7.85873544749506E-05,0,0,0,0,0,0,package://final1/meshes/wheel2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://final1/meshes/wheel2.STL,,轮子-1,Origin_wheel2,w-wheel1,wheel2,fixed,0.115377293089526,0.0549999999999999,-0.0225698233330696,-3.14159265358979,0.663030869689347,-1.5707963267949,chassis,0,0,0,,,,,,,,,,,,
castersupport1,0.00337745633298084,6.93889390390723E-18,-0.0127717338858997,0,0,0,0.00411404602499779,9.67010911600631E-07,-5.29395592033938E-23,8.45755550847914E-08,8.04763775735206E-07,1.02570395956575E-22,3.48632255889656E-07,0,0,0,0,0,0,package://final1/meshes/castersupport1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://final1/meshes/castersupport1.STL,,万向轮支架-1,o-right_castersupport,w-caster1,castersupport1,continuous,-0.0475049493705497,-0.108253164903643,-0.00756982333306975,0,0,-1.47606245011241,chassis,0,0,1,,,,,,,,,,,,
caster1,-2.08166817117217E-17,5.55111512312578E-17,6.93889390390723E-18,0,0,0,0.00471054386314053,3.21165618764568E-07,-8.27180612553028E-24,1.13737334226041E-24,2.05837935766083E-07,0,2.05837935766083E-07,0,0,0,0,0,0,package://final1/meshes/caster1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://final1/meshes/caster1.STL,,万向轮-1,Origin_caster1,w-caster3,caster1,continuous,0.00525647128559317,0,-0.0355,3.08535695083018,0,1.5707963267949,castersupport1,-1,0,0,,,,,,,,,,,,
castersupport2,0.00282750209319937,-0.00184727994471481,-0.0127717338858997,0,0,0,0.00411404602499779,9.18475023125732E-07,-7.42904867509172E-08,7.08040416986509E-08,8.53299664210105E-07,-4.62581041228054E-08,3.48632255889656E-07,0,0,0,0,0,0,package://final1/meshes/castersupport2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://final1/meshes/castersupport2.STL,,万向轮支架-2,o-left_castersupport,w-caster2,castersupport2,continuous,0.0620451353841467,-0.11065850882518,-0.00756982333306975,0,0,-1.5707963267949,chassis,0,0,1,,,,,,,,,,,,
caster2,1.38777878078145E-17,0,0,0,0,0,0.00471054386314053,3.21165618764568E-07,2.48326381932326E-24,3.30872245021211E-23,2.05837935766083E-07,-5.849080488902E-25,2.05837935766083E-07,0,0,0,0,0,0,package://final1/meshes/caster2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://final1/meshes/caster2.STL,,万向轮-2,Origin_caster2,w-caster4,caster2,continuous,0.00440055535810283,-0.00287499615939536,-0.0355,1.5707963267949,0,0.992086691936833,castersupport2,-1,0,0,,,,,,,,,,,,
gear1,2.81856651652007E-05,-0.0153454075800095,0.00837592472436732,0,0,0,0.0317935210335691,1.16560777768163E-05,4.61843746752259E-09,-2.25216653280953E-09,5.12253542666033E-06,1.25643846965817E-06,1.38238140386437E-05,0,0,0,0,0,0,package://final1/meshes/gear1.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://final1/meshes/gear1.STL,,Scissor_Lift-1/半齿轮_1-25;Scissor_Lift-1/支撑板-7;Scissor_Lift-1/铰链-2/铰链_half-1,o-gear2,w-gear1,gear1,continuous,-0.0181750251067888,-0.0979999999999982,0.0294301766669303,0,0,-1.57079632679486,chassis,1,0,0,,,,,,,,,,,,
board1,-0.0205081823311091,0.108973759378584,0.0625642861950044,0,0,0,0.0572555536827576,0.000114202153557095,8.74780526938288E-07,2.92878423048748E-07,3.59662702864365E-05,-4.80894337995041E-05,9.27796896295438E-05,0,0,0,0,0,0,package://final1/meshes/board1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://final1/meshes/board1.STL,,Scissor_Lift-1/铰链-2/铰链_half-2;Scissor_Lift-1/驱动杆2-2;Scissor_Lift-1/servomotorcase-1;Scissor_Lift-1/STD Servomotor-3;Scissor_Lift-1/铰链-4/铰链_half-1,o-hinge17,w-hinge1,board1,continuous,0.00937499999999386,-0.0937271976597312,0.0315984552879671,-0.234048063844204,0,0,gear1,1,0,0,,,,,,,,,,,,
board2,-0.0110541589156927,0.00260247877343705,0.00587877379117568,0,0,0,0.0317851309060024,2.6960265298137E-05,3.70254119070302E-08,1.26199405021752E-07,5.02185591677241E-06,7.12778925061468E-06,2.72000545154937E-05,0,0,0,0,0,0,package://final1/meshes/board2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://final1/meshes/board2.STL,,Scissor_Lift-1/从动杆2-2;Scissor_Lift-1/金属主舵盘-1;Scissor_Lift-1/支撑杆2_短-4;Scissor_Lift-1/支撑杆2-3;Scissor_Lift-1/铰链-1/铰链_half-2;Scissor_Lift-1/铰链-3/铰链_half-1,o-connection1,axis1,servo1,revolute,0.00667500000000625,0.106157111929533,0.0560881217576914,0.232921764091441,0,0,board1,-1,0,0,0,0,0,3.1415926,,,,,,,,
